year,movie,movie_genre,category,oscar_result
1975,The Towering Inferno, Action: Drama: Thriller,Best Picture,0
1974,The Sting, Comedy: Crime: Drama,Best Picture,1
1974,American Graffiti, Comedy: Drama,Best Picture,0
1974,Cries & Whispers, Drama,Best Picture,0
1974,The Exorcist, Horror,Best Picture,0
1974,A Touch of Class, Comedy: Romance,Best Picture,0
1973,The Godfather, Crime: Drama,Best Picture,1
1973,Cabaret, Drama: Musical,Best Picture,0
1973,Deliverance, Adventure: Drama: Thriller,Best Picture,0
1973,The Emigrants, Drama: History,Best Picture,0
1973,Sounder, Drama: Family,Best Picture,0
1972,The French Connection, Action: Crime: Drama: Thriller,Best Picture,1
1972,A Clockwork Orange, Crime: Drama: Sci-Fi,Best Picture,0
1972,Fiddler on the Roof, Drama: Family: Musical: Romance,Best Picture,0
1972,The Last Picture Show, Drama,Best Picture,0
1972,Nicholas and Alexandra, Biography: Drama: History: War,Best Picture,0
1971,Patton, Biography: Drama: War,Best Picture,1
1971,Airport, Action: Drama: Thriller,Best Picture,0
1971,Five Easy Pieces, Drama,Best Picture,0
1971,Love Story, Drama: Romance,Best Picture,0
1971,MASH, Comedy: Drama: War,Best Picture,0
1970,Midnight Cowboy, Drama,Best Picture,1
1970,Anne of the Thousand Days, Biography: Drama: History,Best Picture,0
1970,Butch Cassidy and the Sundance Kid, Biography: Crime: Drama: Western,Best Picture,0
1970,Hello Dolly!, Adventure: Comedy: Musical: Romance,Best Picture,0
1970,Z, Crime: Drama: History: Thriller,Best Picture,0
1969,Oliver!, Drama: Family: Musical,Best Picture,1
1969,Funny Girl, Biography: Comedy: Drama: Musical: Romance,Best Picture,0
1969,The Lion in Winter, Biography: Drama: History,Best Picture,0
1969,Rachel Rachel, Drama: Romance,Best Picture,0
1969,Romeo and Juliet, Drama: Romance,Best Picture,0
1968,In the Heat of the Night, Crime: Drama: Mystery: Thriller,Best Picture,1
1968,Bonnie and Clyde, Action: Biography: Crime: Drama,Best Picture,0
1968,Doctor Dolittle, Adventure: Comedy: Family: Fantasy: Musical: Romance,Best Picture,0
1968,The Graduate, Comedy: Drama,Best Picture,0
1968,Guess Who's Coming to Dinner, Comedy: Drama,Best Picture,0
1967,A Man for All Seasons, Biography: Drama: History,Best Picture,1
1967,Alfie, Comedy: Drama,Best Picture,0
1967,The Russians Are Coming the Russians Are Coming, Comedy: War,Best Picture,0
1967,The Sand Pebbles, Adventure: Drama: Romance: War,Best Picture,0
1967,Who's Afraid of Virginia Woolf?, Drama,Best Picture,0
1966,The Sound of Music, Biography: Drama: Family: Musical: Romance,Best Picture,1
1966,Darling, Drama: Romance,Best Picture,0
1966,Doctor Zhivago, Drama: Romance: War,Best Picture,0
1966,Ship of Fools, Drama: Romance: War,Best Picture,0
1966,A Thousand Clowns, Comedy: Drama: Romance,Best Picture,0
1965,My Fair Lady, Drama: Family: Musical: Romance,Best Picture,1
1965,Becket, Biography: Drama: History,Best Picture,0
1965,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, Comedy,Best Picture,0
1965,Mary Poppins, Comedy: Family: Fantasy: Musical,Best Picture,0
1965,Zorba the Greek, Comedy: Drama,Best Picture,0
1964,Tom Jones, Adventure: Comedy: History,Best Picture,1
1964,America America, Drama,Best Picture,0
1964,Cleopatra, Biography: Drama: History: Romance,Best Picture,0
1964,How the West Was Won, Western,Best Picture,0
1964,Lilies of the Field, Drama,Best Picture,0
1963,Lawrence of Arabia, Adventure: Biography: Drama: History: War,Best Picture,1
1963,The Longest Day, Action: Drama: History: War,Best Picture,0
1963,The Music Man, Comedy: Musical: Romance,Best Picture,0
1963,Mutiny on the Bounty, Adventure: Drama: History: Romance,Best Picture,0
1963,To Kill a Mockingbird, Crime: Drama,Best Picture,0
1962,West Side Story, Crime: Drama: Musical: Romance: Thriller,Best Picture,1
1962,Fanny, Drama: Romance,Best Picture,0
1962,The Guns of Navarone, Action: Adventure: Drama: War,Best Picture,0
1962,The Hustler, Drama: Sport,Best Picture,0
1962,Judgment at Nuremberg, Drama: War,Best Picture,0
1961,The Apartment, Comedy: Drama: Romance,Best Picture,1
1961,The Alamo, Adventure: Drama: History: War: Western,Best Picture,0
1961,Elmer Gantry, Drama,Best Picture,0
1961,Sons and Lovers, Drama,Best Picture,0
1961,The Sundowners, Drama: Adventure,Best Picture,0
1960,Ben-Hur, Adventure: Drama: History,Best Picture,1
1960,Anatomy of a Murder, Crime: Drama: Mystery: Thriller,Best Picture,0
1960,The Diary of Anne Frank, Biography: Drama: Family: History: War,Best Picture,0
1960,The Nun's Story, Drama,Best Picture,0
1960,Room at the Top, Drama: Romance,Best Picture,0
1959,Gigi, Comedy: Musical: Romance,Best Picture,1
1959,Auntie Mame, Comedy: Drama: Romance,Best Picture,0
1959,Cat on a Hot Tin Roof, Drama: Romance,Best Picture,0
1959,The Defiant Ones, Crime: Drama: Film-Noir,Best Picture,0
